Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
116.00	37.900	20.799	0.048078	-4.8911	-4.7088	-33.129	46.792	70.522	1842.0	-0.054428	554.44	0.23607	liquid
117.00	37.900	20.763	0.048162	-4.8209	-4.6383	-32.524	46.667	70.482	1834.8	-0.054401	540.21	0.23516	liquid
118.00	37.900	20.727	0.048246	-4.7507	-4.5679	-31.924	46.542	70.440	1827.6	-0.054374	526.59	0.23424	liquid
119.00	37.900	20.691	0.048331	-4.6806	-4.4975	-31.330	46.417	70.396	1820.4	-0.054347	513.54	0.23332	liquid
120.00	37.900	20.654	0.048416	-4.6106	-4.4271	-30.741	46.293	70.352	1813.1	-0.054321	501.03	0.23239	liquid
121.00	37.900	20.618	0.048501	-4.5406	-4.3568	-30.158	46.169	70.307	1805.9	-0.054293	489.02	0.23146	liquid
122.00	37.900	20.582	0.048586	-4.4706	-4.2865	-29.579	46.047	70.262	1798.7	-0.054265	477.50	0.23053	liquid
123.00	37.900	20.546	0.048672	-4.4007	-4.2162	-29.006	45.926	70.218	1791.4	-0.054235	466.43	0.22959	liquid
124.00	37.900	20.509	0.048759	-4.3308	-4.1460	-28.437	45.807	70.174	1784.2	-0.054203	455.80	0.22866	liquid
125.00	37.900	20.473	0.048845	-4.2610	-4.0759	-27.874	45.690	70.132	1776.9	-0.054169	445.57	0.22771	liquid
126.00	37.900	20.436	0.048932	-4.1912	-4.0058	-27.315	45.575	70.090	1769.7	-0.054133	435.73	0.22677	liquid
127.00	37.900	20.400	0.049020	-4.1215	-3.9357	-26.761	45.461	70.051	1762.4	-0.054094	426.25	0.22582	liquid
128.00	37.900	20.364	0.049107	-4.0518	-3.8657	-26.212	45.350	70.013	1755.2	-0.054052	417.12	0.22487	liquid
129.00	37.900	20.327	0.049196	-3.9821	-3.7957	-25.667	45.242	69.978	1747.9	-0.054007	408.32	0.22392	liquid
130.00	37.900	20.290	0.049284	-3.9125	-3.7257	-25.127	45.135	69.945	1740.7	-0.053959	399.84	0.22296	liquid
131.00	37.900	20.254	0.049373	-3.8429	-3.6558	-24.591	45.032	69.914	1733.4	-0.053907	391.65	0.22201	liquid
132.00	37.900	20.217	0.049463	-3.7733	-3.5859	-24.060	44.930	69.885	1726.2	-0.053852	383.75	0.22105	liquid
133.00	37.900	20.181	0.049552	-3.7038	-3.5160	-23.532	44.832	69.859	1718.9	-0.053793	376.12	0.22009	liquid
134.00	37.900	20.144	0.049643	-3.6343	-3.4462	-23.009	44.736	69.836	1711.6	-0.053730	368.74	0.21913	liquid
135.00	37.900	20.107	0.049733	-3.5648	-3.3763	-22.490	44.642	69.816	1704.4	-0.053663	361.61	0.21816	liquid
136.00	37.900	20.070	0.049824	-3.4954	-3.3065	-21.975	44.551	69.799	1697.1	-0.053593	354.72	0.21720	liquid
137.00	37.900	20.034	0.049916	-3.4259	-3.2367	-21.463	44.463	69.784	1689.8	-0.053518	348.04	0.21623	liquid
138.00	37.900	19.997	0.050008	-3.3565	-3.1670	-20.956	44.378	69.772	1682.6	-0.053439	341.58	0.21526	liquid
139.00	37.900	19.960	0.050100	-3.2871	-3.0972	-20.452	44.295	69.764	1675.3	-0.053356	335.32	0.21429	liquid
140.00	37.900	19.923	0.050193	-3.2177	-3.0274	-19.952	44.215	69.758	1668.0	-0.053268	329.25	0.21332	liquid
141.00	37.900	19.886	0.050287	-3.1483	-2.9577	-19.456	44.137	69.755	1660.8	-0.053176	323.37	0.21235	liquid
142.00	37.900	19.849	0.050380	-3.0789	-2.8879	-18.963	44.062	69.755	1653.5	-0.053080	317.67	0.21138	liquid
143.00	37.900	19.812	0.050475	-3.0095	-2.8182	-18.473	43.990	69.759	1646.2	-0.052980	312.13	0.21041	liquid
144.00	37.900	19.775	0.050569	-2.9401	-2.7484	-17.987	43.920	69.765	1638.9	-0.052875	306.76	0.20943	liquid
145.00	37.900	19.738	0.050665	-2.8707	-2.6786	-17.504	43.852	69.774	1631.6	-0.052766	301.54	0.20846	liquid
146.00	37.900	19.700	0.050760	-2.8012	-2.6089	-17.025	43.788	69.786	1624.4	-0.052652	296.48	0.20748	liquid
147.00	37.900	19.663	0.050857	-2.7318	-2.5391	-16.548	43.725	69.802	1617.1	-0.052534	291.55	0.20651	liquid
